misura,data,latitudine,longitudine,altezza,angolo_sole,al_sole,mag_x,mag_y,mag_z
100,2020-04-11 04:31:57,-26.487583333333333,28.938083333333335,430253.71875,2.393768927894964,True,-29.38907623291016,-5.183208465576172,37.21908187866211
101,2020-04-11 04:31:58,-26.44113888888889,28.983777777777778,430234.59375,2.4430062675177053,True,-29.324298858642575,-5.311111927032472,37.28588104248047
102,2020-04-11 04:31:59,-26.394666666666666,29.029444444444444,430215.46875,2.4923055057298,True,-29.478761672973636,-5.404686450958252,37.301979064941406
103,2020-04-11 04:32:00,-26.34819444444444,29.075083333333332,430196.34375,2.541662160219604,True,-29.51955986022949,-5.271649360656738,37.126991271972656
104,2020-04-11 04:32:01,-26.301666666666666,29.12066666666667,430177.25,2.5910745234398265,True,-29.538249969482425,-5.972544193267822,37.38692855834961
105,2020-04-11 04:32:02,-26.255166666666668,29.16622222222222,430158.125,2.640544089494348,True,-29.56275177001953,-5.7833991050720215,37.52992248535156
106,2020-04-11 04:32:03,-26.20861111111111,29.21172222222222,430139.03125,2.6900668029583485,True,-29.40302085876465,-5.83727502822876,37.55131149291992
107,2020-04-11 04:32:04,-26.162055555555554,29.257194444444444,430119.9375,2.739640956284536,True,-29.500904083251953,-5.7305989265441895,37.5759162902832
108,2020-04-11 04:32:05,-26.1155,29.30263888888889,430100.84375,2.7892682570202023,True,-29.473772048950195,-5.640866756439209,37.50355529785156
109,2020-04-11 04:32:06,-26.06888888888889,29.348027777777776,430081.75,2.8389444362971163,True,-29.47501564025879,-5.6302552223205575,37.29088592529297
110,2020-04-11 04:32:07,-26.022277777777777,29.393361111111112,430062.65625,2.88867098821916,True,-29.45732116699219,-5.763661861419678,37.35700225830078
111,2020-04-11 04:32:08,-25.975666666666665,29.438694444444444,430043.5625,2.9384440708049238,True,-29.49372291564941,-5.068737983703613,37.19318771362305
112,2020-04-11 04:32:09,-25.92902777777778,29.483944444444447,430024.5,2.988261976507116,True,-29.436532974243164,-5.123300552368164,37.2595100402832
113,2020-04-11 04:32:11,-25.835694444444442,29.57438888888889,429986.34375,3.0880399412236006,True,-29.59917068481445,-5.345609188079834,37.74530792236328
114,2020-04-11 04:32:12,-25.789,29.61952777777778,429967.28125,3.1379918893882537,True,-29.60109519958496,-5.360357761383057,37.64322280883789
115,2020-04-11 04:32:13,-25.74227777777778,29.664666666666665,429948.21875,3.187986739678632,True,-29.67365074157715,-5.405036449432373,37.59312438964844
116,2020-04-11 04:32:14,-25.695555555555554,29.709722222222222,429929.15625,3.2380244920947336,True,-29.81783676147461,-5.4902076721191415,37.54015350341797
117,2020-04-11 04:32:15,-25.648805555555555,29.75477777777778,429910.09375,3.288103012202444,True,-29.83839225769043,-5.368181228637695,37.519004821777344
118,2020-04-11 04:32:16,-25.602055555555555,29.79977777777778,429891.03125,3.3382186714637663,True,-29.87246513366699,-5.354418754577637,37.36818313598633
119,2020-04-11 04:32:17,-25.55527777777778,29.844749999999998,429872.0,3.388373817756228,True,-29.835662841796875,-5.2880539894104,37.26985931396485
120,2020-04-11 04:32:18,-25.5085,29.889666666666667,429852.9375,3.4385665300891244,True,-29.701602935791016,-5.4170355796813965,37.26123046875
121,2020-04-11 04:32:19,-25.461666666666666,29.934555555555555,429833.90625,3.4887938202546938,True,-29.67304992675781,-5.360523223876953,37.01037216186523
122,2020-04-11 04:32:20,-25.414861111111108,29.979388888888888,429814.875,3.53906017056458,True,-29.76321601867676,-5.376370429992676,37.03662872314453
123,2020-04-11 04:32:21,-25.368000000000002,30.02422222222222,429795.84375,3.589358750829612,True,-29.764034271240234,-5.6030545234680185,36.679988861083984
124,2020-04-11 04:32:22,-25.32113888888889,30.06897222222222,429776.84375,3.6396916954839047,True,-29.79756164550781,-5.609663486480713,36.53538131713867
125,2020-04-11 04:32:23,-25.274277777777776,30.113722222222222,429757.8125,3.690058364197225,True,-29.765905380249023,-5.441718578338623,36.61819076538086
126,2020-04-11 04:32:24,-25.227388888888886,30.158416666666664,429738.8125,3.7404600376300414,True,-29.69133949279785,-5.487982749938965,36.546382904052734
127,2020-04-11 04:32:26,-25.133555555555557,30.247694444444445,429700.8125,3.8413521769548846,True,-29.664833068847656,-5.507636070251465,36.49858093261719
128,2020-04-11 04:32:27,-25.08661111111111,30.29227777777778,429681.8125,3.891843923507381,True,-29.598562240600586,-5.524579048156738,36.641746520996094
129,2020-04-11 04:32:28,-25.03966666666667,30.33683333333333,429662.8125,3.9423646983638503,True,-29.72513008117676,-5.681549072265625,36.59623718261719
130,2020-04-11 04:32:29,-24.992694444444446,30.381333333333334,429643.84375,3.9929170628452297,True,-29.84992790222168,-5.903036594390869,36.70417785644531
131,2020-04-11 04:32:30,-24.945694444444445,30.425805555555556,429624.84375,4.043494613649174,True,-29.715557098388672,-5.897275447845459,36.66817092895508
132,2020-04-11 04:32:31,-24.898694444444445,30.47025,429605.875,4.094102046530739,True,-29.649621963500977,-5.852243900299072,36.52054977416992
133,2020-04-11 04:32:32,-24.851666666666667,30.51463888888889,429586.90625,4.144735519508512,True,-29.591449737548828,-5.940540313720702,36.4864501953125
134,2020-04-11 04:32:33,-24.80463888888889,30.559,429567.9375,4.1953946056956735,True,-29.67385292053223,-5.7500505447387695,36.45221710205078
135,2020-04-11 04:32:34,-24.757583333333333,30.603333333333335,429549.0,4.246078451318575,True,-30.36876678466797,-5.695399284362793,36.361270904541016
136,2020-04-11 04:32:35,-24.710527777777777,30.64763888888889,429530.03125,4.296789617698158,True,-30.18190574645996,-5.803378582000732,36.29653549194336
137,2020-04-11 04:32:36,-24.663444444444444,30.69188888888889,429511.09375,4.347521274645252,True,-30.080698013305664,-5.730830669403076,36.104774475097656
138,2020-04-11 04:32:37,-24.616333333333333,30.736083333333333,429492.15625,4.398281959896316,True,-30.079530715942386,-5.846424579620361,35.980587005615234
